Days_to_Flowering;Days_to_Maturity;First_Pod_Height_cm;Branch_Number;Plant_Height_cm;Biological_Yield_g;Pod_Number;Pod_Weight_g;Pod_Length_cm;Seeds_per_Pod;Seeds_per_Plant;Single_Plant_Yield_g;Plot_Yield_kg_da;Seed_Weight_100_g;Pod_Filling_Rate;Seed_to_Pod_Ratio;Seed_Unit_Weight;Pod_Length_Yield_Index;Plant_Yield_Ratio;Vegetation_Period_days
48;106;38.8;3.2;90.0;47.519999999999996;10.0;24.759999999999998;7.859999999999999;2.4;21.800000000000004;19.59;168.82;96.52;2.4735264735264733;2.1778221778221782;1.1352590554791375;3.146124523506989;4.747252747252747;58
47;105;31.4;2.8;92.4;47.32000000000001;7.800000000000002;18.97;8.14;2.4;14.0;15.15;264.61;75.31;2.428937259923175;1.7925736235595386;1.3540328336902212;2.32760736196319;6.058898847631242;58
45;107;43.4;3.2;105.40000000000002;56.129999999999995;11.0;29.24;8.919999999999998;3.2;24.6;21.74;351.93;123.87;2.6557674841053585;2.23433242506812;1.1881349045103615;3.274356103023517;5.098092643051771;62
46;107;44.39999999999999;2.6;98.6;75.35;10.0;28.07;8.6;3.4;23.800000000000004;25.23;281.82;142.0;2.804195804195804;2.377622377622378;1.1789164216715662;3.2601626016260163;7.527472527472527;61
45;107;43.0;3.0;98.2;47.32000000000001;13.8;25.440000000000005;7.599999999999999;2.8;24.200000000000003;19.07;310.16;116.89;1.8421433743664015;1.7523533671252718;1.050805452292441;3.3429697766097255;3.426502534395366;62
45;104;30.599999999999994;2.8000000000000003;100.19999999999999;46.660000000000004;11.8;29.870000000000005;8.8;2.8000000000000003;28.8;25.04;413.71;111.78;2.5292125317527523;2.4386113463166805;1.0367927802846235;3.3904653802497164;3.9508890770533447;59
45;105;36.0;3.6;95.4;50.330000000000005;9.4;23.43;8.8;3.6;20.400000000000002;19.48;274.39;112.47;2.48990435706695;2.1679064824654626;1.14796668299853;2.6594778660612937;5.348565356004252;60
46;106;39.8;3.0;93.8;41.73;8.0;20.880000000000003;7.8;2.8;14.2;11.73;238.23;116.87;2.6067415730337085;1.772784019975031;1.4693877551020411;2.6734955185659417;5.209737827715355;60
51;107;43.0;2.4;104.6;38.65;6.8;15.25;6.9;2.8;13.6;13.910000000000002;364.72;103.76;2.2393538913362705;1.9970631424375918;1.1204996326230714;2.206946454413893;5.675477239353891;56
46;107;38.800000000000004;3.8;97.8;26.99;5.0;10.190000000000001;8.6;2.3999999999999995;6.8;7.160000000000001;247.39;119.74;2.033932135728543;1.3572854291417167;1.49632892804699;1.1835075493612082;5.387225548902196;61
